num	parent	name	value
1		category	インテリア
2		category	インナーコスメ
3		category	グルメ
4		category	コスメ
5	3	category	エリア
6	5	category	代々木
7	5	category	六本木
8	5	category	外苑前
9	5	category	表参道
10		category	ダイエット
11		category	ボディケア
12		category	中国
13		category	料理
14		category	旅行
15		category	日記
16	5	category	乃木坂
17	5	category	初台
18	5	category	恵比寿
19	5	category	広尾
20	5	category	新宿
21	5	category	麻布十番
22	5	category	西麻布
23	5	category	赤坂
24	5	category	原宿
25	5	category	人形町
26	5	category	溜池山王
27	5	category	代々木上原
28	5	category	その他
29	5	category	霞ヶ関、虎ノ門
30	5	category	神谷町
31	5	category	銀座,新橋
32	5	category	中野,高円寺
33		category	スキンケア